Mass	Intensity
497.605	12891
497.755	12919
497.967	102177
498.472	13247
498.601	13147
498.733	13587
498.82	13207
498.973	490595
499.604	13713
499.751	14159
499.978	127833
500.341	14400
500.447	13955
500.584	13285
500.751	14948
500.977	55060
501.146	32789
501.415	12782
501.47	12690
501.601	12821
501.76	12686
501.976	33054
502.146	18894
502.341	12763
502.427	12395
502.518	12462
502.596	12405
502.657	12408
502.714	12415
502.73	12412
502.75	12333
502.981	44765
503.355	13328
503.495	12815
503.567	12754
503.714	12407
503.766	12359
503.981	31224
504.28	12760
504.301	12706
504.407	12241
504.424	12214
504.446	12273
504.455	12192
504.511	12055
504.602	12211
504.755	12614
504.986	61001
505.377	12762
505.418	12629
505.49	12602
505.623	12345
505.689	12469
505.752	12437
505.781	12525
505.994	27914
506.269	12708
506.39	12381
506.487	12259
506.556	12271
506.621	12171
506.641	12099
506.752	12331
506.795	12488
506.993	24412
507.358	12198
507.371	12227
507.413	12290
507.511	12320
507.643	12180
507.692	12097
507.778	12199
508.022	25674
508.316	12784
508.381	12640
508.475	12390
508.646	12536
508.712	12384
508.748	12262
508.768	12240
508.843	12373
509.007	22888
509.295	13068
509.458	12729
509.503	12679
509.645	12498
509.729	12125
509.809	12040
509.989	18209
510.271	12599
510.424	12488
510.507	12521
510.576	12344
510.708	12620
510.994	19482
511.101	15888
511.416	12306
511.474	12382
511.535	12252
511.618	12301
511.771	11926
511.986	17124
512.338	12058
512.427	12167
512.501	12330
512.544	12184
512.628	11837
512.766	12227
512.951	37681
513.248	13449
513.447	12380
513.586	12285
513.712	12076
513.955	20395
514.144	14287
514.287	12544
514.451	12516
514.567	12222
514.603	12252
514.66	12084
514.761	12228
514.967	25600
515.165	20493
515.495	12383
515.513	12320
515.644	12083
515.774	11787
515.802	11681
515.821	12007
515.987	18421
516.169	14523
516.378	12290
516.505	12491
516.582	12417
516.643	12145
516.759	12035
516.976	32844
517.322	12376
517.382	12362
517.509	12273
517.603	12209
517.626	12201
517.694	11886
517.799	11915
517.998	20858
518.376	12223
518.438	12068
518.545	11972
518.636	11947
518.688	11827
518.796	11787
518.986	29549
519.322	12082
519.333	12037
519.352	12313
519.444	12280
519.516	12118
519.642	12126
519.751	11954
519.803	11929
519.988	20835
520.344	12024
520.481	12150
520.514	12244
520.614	11988
520.677	12089
520.749	12194
520.99	26658
521.231	12691
521.325	12495
521.441	12307
521.589	11906
521.718	11806
521.787	11969
521.997	17319
522.303	12147
522.351	12093
522.397	12287
522.442	12065
522.575	11921
522.669	11671
522.824	12105
522.989	22024
523.231	12712
523.439	12220
523.501	12159
523.551	11928
523.693	11879
523.767	11716
524	16275
524.316	11868
524.362	12085
524.373	11918
524.483	11730
524.563	11750
524.598	11796
524.712	12072
524.797	11694
524.978	22527
525.117	19438
525.358	12445
525.497	12252
525.621	11651
525.77	12147
526.039	18106
526.33	12004
526.366	12170
526.507	12165
526.625	12094
526.709	12224
527.026	21229
527.292	12899
527.488	12233
527.532	12186
527.61	12248
527.687	12023
527.751	11887
527.812	12003
528.011	15794
528.218	12340
528.289	12205
528.369	12178
528.516	11981
528.596	12080
528.678	11722
528.76	11796
528.791	11981
528.991	23451
529.415	12103
529.503	12120
529.656	11684
529.696	11716
529.814	11859
530.003	17345
530.174	12689
530.292	12213
530.371	12078
530.455	12014
530.525	11942
530.588	12070
530.727	12053
530.788	12092
530.997	21432
531.331	12232
531.438	11984
531.542	12391
531.592	12204
531.745	11859
531.825	11925
532.002	19049
532.325	12100
532.456	12209
532.585	11984
532.73	11969
532.83	11888
533.004	23639
533.253	12321
533.364	12012
533.436	12310
533.521	12314
533.638	11968
533.79	11830
533.806	11855
534.012	17732
534.249	12128
534.312	12280
534.397	12258
534.445	12092
534.509	11913
534.596	11926
534.67	12088
534.758	11870
534.77	11781
535.003	22089
535.371	12478
535.473	12479
535.623	12025
535.715	11982
535.806	11788
535.991	18384
536.259	12451
536.272	12403
536.373	11931
536.482	12022
536.517	11990
536.618	12185
536.675	11946
536.747	11961
536.986	25662
537.31	12610
537.453	12460
537.563	11978
537.634	12127
537.725	11905
537.794	12030
537.991	16278
538.152	12646
538.307	12119
538.422	12204
538.477	12066
538.591	11851
538.634	11791
538.657	11765
538.701	11889
538.981	21039
539.147	19734
539.448	12478
539.522	12369
539.676	11479
539.808	11801
539.991	15344
540.149	14235
540.332	12234
540.391	12038
540.452	12292
540.508	12243
540.645	11870
540.711	11912
540.99	22440
541.362	12586
541.41	12524
541.491	12358
541.628	11760
541.757	11729
541.829	11758
541.997	16397
542.164	12665
542.321	12130
542.332	11936
542.362	11963
542.429	11937
542.478	12134
542.611	11847
542.649	11831
542.753	11579
542.813	11783
542.993	20921
543.403	12343
543.483	12479
543.577	12012
543.661	11824
543.748	12017
544.004	17734
544.209	12664
544.297	12357
544.425	12427
544.548	12341
544.71	11948
544.763	11795
544.835	11745
545	23976
545.103	24241
545.38	12502
545.464	12598
545.586	11967
545.69	12003
545.84	11726
546.003	18497
546.088	16373
546.322	12276
546.379	12237
546.447	12392
546.523	12043
546.671	11915
546.736	11681
547.009	20889
547.114	19501
547.445	12765
547.559	12337
547.571	12369
547.68	11743
547.698	11737
547.78	11665
547.863	12055
548.007	17213
548.404	12114
548.422	12314
548.545	12185
548.623	12000
548.713	11641
548.772	11764
548.85	12155
549.01	20775
549.324	12501
549.4	12006
549.482	12206
549.69	11812
549.75	11843
549.829	12020
550.015	16511
550.331	11960
550.384	11808
550.395	11761
550.473	12018
550.535	11844
550.677	11837
550.72	11635
550.819	11884
551.02	23151
551.314	12218
551.353	12022
551.432	12076
551.498	12142
551.714	11694
552.016	16913
552.28	12215
552.372	12031
552.477	11851
552.579	11949
552.648	11582
552.66	11710
552.697	11677
552.79	11698
552.81	11678
552.991	20759
553.457	12419
553.522	12225
553.668	12062
553.718	11829
553.841	11814
554.018	15651
554.15	13408
554.272	12564
554.41	11961
554.477	12156
554.606	11960
554.654	11942
554.998	21681
555.372	12240
555.45	12256
555.469	12362
555.599	12130
555.639	12078
555.781	11795
556.006	15823
556.271	12168
556.279	12255
556.349	12253
556.52	11959
556.588	11706
556.686	11713
556.732	11728
556.797	11708
556.989	21091
557.184	13251
557.304	13502
557.445	12343
557.491	12277
557.575	12074
557.739	11844
557.799	11845
557.987	18291
558.15	13093
558.329	12611
558.453	12064
558.5	11911
558.565	11884
558.71	11787
558.767	11666
558.974	45900
559.304	12870
559.496	12235
559.571	12107
559.645	11809
559.703	11873
559.754	11685
559.776	11753
559.988	22556
560.198	12865
560.283	12613
560.337	12332
560.42	12178
560.491	12277
560.559	11992
560.638	12051
560.7	11740
560.723	11829
560.735	11733
560.783	11852
560.998	29178
561.334	12697
561.436	12347
561.526	12374
561.771	11732
561.828	11769
562.012	19336
562.253	12355
562.314	12228
562.375	12409
562.424	12449
562.552	12343
562.685	12139
563.012	30125
563.127	145463
563.795	13031
564.12	99507
564.996	28002
565.12	56297
565.511	13619
565.671	13026
565.815	12741
565.828	12634
566.006	18423
566.122	25578
566.371	12903
566.46	12918
566.615	12322
566.704	12298
566.713	12144
566.822	12668
567.015	20422
567.391	12832
567.477	12562
567.592	12360
567.708	12197
567.782	12142
568.015	16132
568.255	12725
568.351	12310
568.418	12240
568.503	12056
568.606	12311
568.702	12151
568.779	12211
569.024	20562
569.281	12796
569.329	12850
569.382	12824
569.461	12851
569.543	12508
569.681	12233
569.783	12341
569.835	12244
570	16874
570.264	12950
570.358	12460
570.451	12374
570.5	12419
570.573	12331
570.601	12405
570.712	12265
571.003	20461
571.332	12675
571.479	12571
571.685	12242
571.851	12243
572.003	15502
572.26	12470
572.353	12281
572.44	12476
572.505	12683
572.606	12138
572.723	12089
572.762	12090
573.01	20095
573.276	12834
573.403	12712
573.546	11995
573.636	12169
573.719	11914
573.732	12198
574.02	16210
574.355	12419
574.435	12386
574.523	12349
574.578	12156
574.677	11897
574.731	12162
574.785	12140
575.01	20817
575.284	12722
575.333	12575
575.356	12630
575.372	12566
575.487	12224
575.583	11993
575.592	12169
575.674	12174
575.722	11959
576.013	17612
576.364	12418
576.582	11898
576.72	12022
577.012	20949
577.388	12628
577.544	12186
577.679	12340
577.777	11903
577.839	11672
577.851	11693
578.023	15863
578.229	12586
578.491	12231
578.638	12145
578.703	11878
578.771	12419
579.01	21245
579.361	12593
579.379	12612
579.443	12623
579.627	12177
579.768	11924
579.842	12116
579.999	17488
580.258	12899
580.361	12618
580.443	12443
580.471	12383
580.556	12278
580.631	11996
580.682	12062
580.72	12061
580.773	11966
580.991	22685
581.356	13057
581.421	12678
581.509	12546
581.53	12491
581.625	12078
581.672	11985
581.702	12037
581.722	12121
581.81	12124
581.877	12478
581.993	16325
582.449	12464
582.608	12216
582.708	11986
582.779	11627
582.786	11751
582.81	11714
582.998	21899
583.372	12554
583.491	12841
583.63	12090
583.771	12115
583.823	12203
584.022	16694
584.365	12357
584.469	12327
584.61	12110
584.705	12293
585.012	25215
585.357	12688
585.429	12698
585.475	12457
585.61	11811
585.71	12060
585.806	11970
585.824	12020
586.025	17179
586.28	12239
586.338	12016
586.356	12174
586.434	12068
586.494	12072
586.58	12097
586.65	11954
586.71	11867
586.767	12061
587.017	22951
587.366	12749
587.491	12160
587.539	12162
587.624	12211
587.761	11918
587.832	12029
588.027	16977
588.32	12336
588.394	12163
588.456	12002
588.475	12042
588.52	11896
588.654	12188
588.673	12038
588.766	11984
589.02	19424
589.257	12586
589.339	12578
589.447	12220
589.517	12151
589.633	12181
589.713	11991
589.787	11757
589.86	11861
590.02	15757
590.299	12232
590.382	12107
590.44	12129
590.564	12189
590.644	11983
590.72	11948
590.785	12285
591.028	18492
591.231	12688
591.438	12235
591.524	12218
591.587	12250
591.669	11957
591.751	12172
592.026	16171
592.312	12348
592.462	12187
592.637	12048
592.749	11954
593.016	17762
593.259	12457
593.322	12349
593.449	12554
593.496	12343
593.658	12116
593.704	11847
593.807	12119
594.033	15644
594.291	12233
594.359	12234
594.419	12424
594.511	12100
594.661	12120
594.734	12153
595.025	20149
595.325	12488
595.449	12411
595.642	11941
595.687	12066
595.818	11839
595.979	23876
596.292	12751
596.409	12364
596.492	12476
596.587	12055
596.652	12201
596.723	12155
596.991	28295
597.439	12984
597.643	12372
597.793	11997
598.004	18662
598.264	12766
598.465	12692
598.541	12323
598.598	12230
598.694	12199
598.78	12090
599.014	25888
599.281	13285
