m/z	I	
501.0580	134	
501.5608	126	
503.5494	415	
503.7986	310	
504.0519	202	
504.3008	130	
506.5771	1017	
507.0779	569	
507.5757	162	
508.0540	175	
511.5586	223	
512.0469	117	
514.0423	204	
515.0274	250	
517.5146	158	
519.5455	11988	
520.0467	5188	
520.5453	2870	
521.0463	1112	
521.5461	271	
523.5347	101	
526.0625	205	
526.5222	139	
527.0692	266	
527.2700	219	
527.4696	154	
528.5503	147	
529.3104	127	
529.5572	142	
531.5439	172	
532.0478	105	
532.5409	128	
533.0404	113	
535.0463	143	
536.0342	337	
537.0351	115	
537.5514	146	
538.0514	350	
540.0109	127	
540.4055	108	
540.6601	123	
540.7385	105	
540.8614	179	
541.0628	124	
542.5703	152	
543.0688	102	
544.0527	103	
545.1195	110	
546.1060	172	
546.4092	669	
546.7427	456	
547.0851	447	
548.0926	137	
549.7333	161	
550.0676	228	
550.1066	141	
551.9975	308	
553.5206	105	
554.0493	308	
554.5576	124	
554.7368	219	
555.0647	168	
556.0664	161	
559.7405	144	
560.0738	132	
563.0621	115	
563.1310	212	
563.7255	118	
564.0674	108	
565.1016	189	
569.0625	283	
569.3947	209	
570.0083	167	
570.1160	686	
570.3889	124	
571.1189	180	
572.1323	132	
576.3272	1402	
576.5777	1288	
576.8284	797	
577.0794	416	
577.3259	103	
577.5627	102	
580.3918	114	
581.1527	399	
581.5397	153	
582.0428	120	
582.0807	145	
582.3269	130	
582.5782	150	
585.1131	514	
586.1118	523	
587.1130	138	
588.0198	449	
588.1262	1131	
589.1293	265	
589.5775	114	
590.4172	205	
591.0802	109	
593.3160	550	
593.5675	663	
593.8176	390	
594.0691	186	
594.3186	116	
595.2797	223	
595.4810	305	
595.6822	200	
595.8831	162	
597.1291	1153	
598.1320	353	
598.6121	120	
598.8844	348	
599.0839	435	
599.1617	290	
599.2839	277	
599.4840	119	
602.0650	190	
603.1240	795	
604.1227	937	
604.4802	128	
604.6805	145	
604.8813	107	
605.0735	169	
605.1248	224	
606.0812	305	
606.9166	107	
607.0795	316	
609.0461	180	
609.1342	473	
609.9188	202	
610.0854	292	
610.1375	171	
610.2535	341	
610.4185	216	
610.5863	180	
611.0714	158	
611.1097	665	
611.6098	326	
