ID	CPD	Plus_Formula	Minus_Formula	Delta.AVG.MW	Delta.MONO.MW
52	Gm Shortmer	N/A	C11H14N5O7P	-359.2325762	-359.0630837
51	Gf Shortmer	N/A	C10H11N5O6PF	-347.1970132	-347.043094
50	Am Shortmer	N/A	C11H14N5O6P	-343.2331713	-343.0681691
49	Af Shortmer	N/A	C10H11N5O5PF	-331.1976083	-331.0481794
48	Um Shortmer	N/A	C10H13N2O8P	-320.1930752	-320.0409512
45	Cm Shortmer	N/A	C10H14N3O7P	-319.2083541	-319.0569357
47	Uf Shortmer	N/A	C9H10N2O7PF	-308.1575121	-308.0209615
46	Cf Shortmer	N/A	C9H11N3O6PF	-307.1727911	-307.036946
41	InvAbasicS Loss	N/A	C5H9O4PS	-196.1626116	-195.9959154
40	InvAbasic Loss	N/A	C5H9O5P	-180.0959318	-180.0187593
17	Guanine Depurination	N/A	C5H5N5O	-151.1265036	-151.0494098
15	Adenine Depurination	N/A	C5H5N5	-135.1270987	-135.0544952
16	Guanine Depurination (H2O)	H2O	C5H5N5O	-133.1112172	-133.0388451
34	Depyrim Acetylation	H	C2NO	-53.01967904	-52.99016357
38	Uracil - 52	N/A	C3O	-52.0316126	-51.9949146
20	2 PO Conversion	O2	S2	-32.133	-31.954
64	Dehydrofluorination	N/A	HF	-20.00634075	-20.00622503
24	Dehydration (-18)	N/A	H2O	-18.01528641	-18.01056466
5	PO Conversion	O	S	-16.06667979	-15.9771561
36	Arabinosyl/Oxydefluorination	H2O	HF	-1.99105434	-1.995660368
1	FLP	N/A	N/A	0	0
4	Phosphorothioate	S	O	16.06667979	15.9771561
73	Adduct Na	Na	H	21.98182853	21.98194425
32	Formylation of Cytosine (+28)	CO	N/A	28.0101408	27.9949146
75	Adduct K	K	H	38.09036102	37.95588237
25	Isobutyryl (+70)	C4H7O	H	70.08999302	70.04186479
33	Phenylacetyl (+118)	C8H6O	N/A	118.1329366	118.0418648
7	Chloral	C2Cl3OH	N/A	147.386432	145.9092977
61	InvAbasic Addition	C5H9O5P	N/A	180.0959318	180.0187593
62	InvAbasicS Addition	C5H9O4PS	N/A	196.1626116	195.9959154
12	UnyLinker (+261)	C8H8NO7P	N/A	261.1257516	261.0038375
10	UnyLinker (+263)	C8H10NO7P	N/A	263.1416332	263.0194875
13	UnyLinker (+275)	C9H10NO7P	N/A	275.152369	275.0194875
11	UnyLinker (+279)	C8H10NO8P	N/A	279.1410381	279.0144021
54	Cf Longmer	C9H11N3O6PF	N/A	307.1727911	307.036946
55	Uf Longmer	C9H10N2O7PF	N/A	308.1575121	308.0209615
53	Cm Longmer	C10H14N3O7P	N/A	319.2083541	319.0569357
56	Um Longmer	C10H13N2O8P	N/A	320.1930752	320.0409512
57	Af Lomgmer	C10H11N5O5PF	N/A	331.1976083	331.0481794
58	Am Longmer	C11H14N5O6P	N/A	343.2331713	343.0681691
59	Gf Longmer	C10H11N5O6PF	N/A	347.1970132	347.043094
60	Gm Longmer	C11H14N5O7P	N/A	359.2325762	359.0630837
