m/z	I	
505.5692	2163	
512.0644	2676	
512.1983	6408	
512.3361	5403	
512.4842	4035	
512.5740	2398	
513.3983	5195	
513.4816	11027	
513.5651	13779	
513.6484	13720	
513.7319	10846	
513.8154	7696	
513.8991	4506	
513.9823	2512	
516.9264	3611	
517.0693	5042	
517.2133	3984	
517.3559	2360	
519.5444	28612	
520.0459	12174	
520.5447	6347	
521.0454	2339	
528.2530	2127	
533.5708	3917	
533.6961	5715	
533.8214	5658	
533.9467	4105	
534.0714	2131	
534.8730	3252	
535.0726	3883	
535.2738	2422	
544.3930	3355	
544.5081	2689	
544.5566	2814	
544.6190	2593	
544.7265	3835	
546.0963	2370	
548.0672	2591	
548.1599	2437	
549.9084	4201	
550.0730	6226	
550.1599	2869	
550.2462	4998	
550.3418	2818	
550.4125	2257	
555.5262	3116	
555.6173	4062	
555.7093	3787	
555.7996	3349	
555.8905	2183	
556.0603	2832	
556.2015	3480	
556.3442	5532	
556.4347	3227	
556.4877	2366	
556.5258	2901	
556.6209	2290	
558.3433	2819	
558.4346	6215	
558.5256	8330	
558.6167	8036	
558.7081	8449	
558.8000	8362	
558.8914	7579	
558.9818	6919	
559.0721	5623	
559.1654	4052	
559.8907	3535	
559.9811	12472	
560.0720	25386	
560.1624	130459	
560.2534	274682	
560.3445	351612	
560.4355	355787	
560.5266	269034	
560.6176	192119	
560.7087	109185	
560.7998	61507	
560.8909	30370	
560.9274	6479	
560.9820	15898	
561.0712	12733	
561.1639	4066	
561.2158	6341	
561.2534	2757	
561.3582	4400	
561.3897	3353	
561.4338	2391	
561.5043	2826	
561.6159	6446	
561.7074	12169	
561.7979	15981	
561.8890	15798	
561.9800	13761	
562.0709	10076	
562.1620	6694	
562.2528	5045	
562.3432	3665	
562.4345	2844	
562.5252	2239	
566.7475	2475	
567.0791	2016	
567.8137	2730	
567.9384	2987	
568.0641	2266	
569.1882	2608	
569.2996	4619	
569.4108	5069	
569.5225	4034	
569.6339	2516	
582.7757	5468	
582.8762	10614	
582.9759	13130	
583.0761	12670	
583.1764	9571	
583.2765	6732	
583.3123	3327	
583.3763	4052	
583.4756	2526	
583.5667	3171	
583.8139	2267	
584.4743	2107	
584.5739	3390	
584.6746	2254	
585.7768	2121	
591.8377	3257	
592.0871	3162	
592.4690	3767	
592.5713	4387	
592.6696	4041	
592.7706	3115	
592.8727	2288	
592.8899	2111	
592.9834	2877	
593.0738	3428	
593.1690	2744	
597.5658	2223	
597.7326	3060	
597.8994	2636	
599.2084	2617	
599.3515	2427	
601.2745	2406	
601.3748	3080	
601.4755	2766	
601.5752	2362	
602.7739	3312	
602.8742	6902	
602.9739	8953	
603.0747	9707	
603.1185	6288	
603.1745	7278	
603.2517	4553	
603.2730	5116	
603.3751	3406	
603.4155	5915	
603.4751	2045	
603.5815	5652	
603.7498	3234	
604.6747	2639	
604.7751	3371	
604.8753	3318	
604.9755	3365	
605.0761	4539	
605.1763	7248	
605.2761	9722	
605.3763	10716	
605.4763	9235	
605.5764	7263	
605.6765	4437	
605.7766	2676	
606.7779	3904	
606.8777	6377	
606.9777	8000	
607.0777	9024	
607.1783	6763	
607.2781	5064	
607.3776	3384	
607.4780	2049	
609.0803	3743	
609.1917	5368	
609.3044	6203	
609.4160	5435	
609.5273	3852	
609.6393	2335	
609.9395	6266	
610.0820	10538	
610.2255	9271	
610.3690	6787	
610.5124	3702	
610.5718	2329	
611.0795	6780	
611.1799	13064	
611.2799	17426	
611.3799	17115	
611.4800	13460	
611.5802	8965	
611.6803	5418	
611.7801	3296	
611.8799	2100	
611.9790	3539	
612.0789	7458	
612.1802	7735	
612.2793	7412	
612.3261	2682	
612.3791	5917	
612.4783	4271	
612.5774	4370	
612.8221	2188	
613.0772	2275	
614.0781	2105	
614.2785	8824	
614.3786	18183	
614.4790	25201	
614.5792	26432	
614.6801	32301	
614.7809	40947	
614.8815	45210	
614.9818	40054	
615.0821	29402	
615.1825	20421	
615.2829	12075	
615.3827	6865	
615.4827	3973	
615.5826	2419	
615.6367	2039	
615.7845	2092	
615.8796	2882	
615.9807	10805	
616.0801	44796	
616.1800	84154	
616.2793	453954	
616.3794	1007920	
616.4795	1322423	
616.5798	1254522	
616.6800	1009437	
616.7802	699824	
616.8803	416129	
616.9805	212709	
617.0805	118922	
617.1802	54664	
617.2802	27324	
617.3789	16713	
617.4764	9405	
617.5746	7105	
617.6246	5330	
617.6779	6212	
617.7194	5055	
617.7792	8265	
617.8781	24788	
617.9783	44380	
618.0263	2849	
618.0784	58665	
618.1787	58972	
618.2789	49974	
618.3790	34934	
618.4791	26020	
618.5787	19217	
618.6787	15599	
618.7784	12881	
618.8784	8979	
618.9786	6524	
619.0786	4505	
619.1809	3168	
619.2831	2121	
619.5774	2614	
619.6778	2806	
619.7776	3181	
619.8770	2621	
619.9744	2484	
620.0772	3855	
620.1786	3493	
620.2769	4340	
620.3772	4866	
620.4777	5159	
620.5783	4536	
620.6796	3998	
620.7808	3380	
620.8814	2740	
620.9811	2049	
621.0795	2062	
621.1841	2203	
622.0753	2380	
622.1761	2061	
622.2763	2119	
631.0732	2934	
631.1091	3103	
636.0768	2302	
638.0820	2327	
638.2127	2566	
638.2560	3690	
638.3374	3687	
638.4230	5238	
638.4616	4133	
638.5886	7964	
638.7126	2245	
638.7570	2967	
640.1134	5542	
640.2301	2457	
640.4625	8942	
640.4968	3042	
640.5876	15935	
640.7117	17838	
640.8382	13296	
640.8978	2799	
640.9638	9154	
641.0902	6149	
641.2133	2514	
644.3464	3182	
644.5979	3417	
644.8493	2292	
647.0814	2983	
647.1841	2393	
647.2830	2729	
647.3826	2616	
647.4823	2061	
647.5830	2329	
647.6403	10688	
647.7517	22053	
647.8629	27155	
647.9743	25143	
648.0855	19625	
648.1964	12692	
648.3073	7974	
648.3853	2102	
648.4185	4664	
648.4846	2527	
648.5295	2680	
648.5845	2422	
649.0760	2506	
649.4158	2791	
649.5276	4413	
649.6395	5286	
649.7501	4342	
649.8631	3424	
649.9763	2359	
650.0825	3368	
650.4477	2253	
650.7567	2624	
650.8644	4573	
650.9748	4674	
651.0865	4401	
651.1968	2840	
652.2859	3060	
652.3859	3851	
652.4858	3944	
652.5843	4592	
654.0825	4044	
654.2250	2592	
654.5836	2832	
654.7515	3869	
654.9195	2838	
655.0847	2810	
656.4446	3816	
656.5253	2076	
656.6374	2576	
656.7501	2892	
656.7782	3141	
656.8599	2413	
658.3006	5826	
658.4117	11754	
658.5232	14504	
658.6344	13970	
658.7456	11287	
658.8569	7009	
658.9684	4277	
659.0800	2412	
660.2966	2268	
668.3062	2390	
668.4177	2450	
669.8604	3389	
669.9712	6862	
670.0832	10116	
670.1957	9591	
670.3060	8109	
670.4172	6447	
670.5285	3959	
670.6405	2643	
671.0914	2210	
671.9722	3182	
672.0845	4132	
672.1957	3713	
672.3069	3276	
672.4185	3231	
672.5295	4228	
672.6410	4840	
672.7522	5320	
672.8635	4251	
672.9749	3022	
673.0859	2460	
674.1981	2410	
674.3092	4857	
674.4204	9069	
674.5314	12388	
674.6426	13186	
674.7538	11977	
674.8651	9681	
674.9760	6242	
675.0867	4002	
675.1985	2361	
677.0915	2924	
677.1995	2333	
677.3109	2472	
677.4250	2826	
677.5340	2194	
679.0890	7640	
679.2004	15002	
679.3115	20271	
679.4228	19325	
679.5339	15133	
679.6456	10655	
679.7567	6273	
679.8675	3644	
680.0916	2405	
680.1999	2442	
680.3105	2672	
680.4218	2726	
680.5329	2264	
681.0511	4011	
681.0883	2403	
682.6433	8827	
682.7546	19794	
682.8660	27507	
682.9774	28614	
683.0898	35119	
683.2018	46575	
683.3134	50553	
683.4250	44524	
683.5361	33743	
683.5922	2108	
683.6475	22953	
683.7590	14093	
683.8699	7995	
683.9809	4222	
684.0917	3205	
684.2041	2077	
684.3169	2075	
684.4236	2895	
684.5345	11339	
684.5911	2813	
684.6452	45773	
684.7562	85986	
684.8664	486074	
684.9776	1041823	
685.0890	1379588	
685.2004	1334051	
685.3117	1030381	
685.4229	679878	
685.5342	423289	
685.5912	18899	
685.6455	235313	
685.7198	18794	
685.7566	120559	
685.8072	10765	
685.8671	57780	
685.9223	9984	
685.9772	31028	
686.0315	8952	
686.0899	20366	
686.2081	9403	
686.2214	10483	
686.3135	6922	
686.3709	10508	
686.4202	8043	
686.5208	9992	
686.5853	5436	
686.6453	24380	
686.7139	4267	
686.7543	43527	
686.7982	5544	
686.8656	59456	
686.9767	60727	
687.0883	53491	
687.1998	36066	
687.3106	26738	
687.4215	20585	
687.4630	2085	
687.5324	16591	
687.6432	13177	
687.7544	9822	
687.8656	6892	
687.9764	4605	
688.0879	3099	
688.2010	2199	
688.4221	2167	
688.5294	2880	
688.6439	3006	
688.7539	3472	
688.8648	2958	
688.9741	2447	
689.0884	5065	
689.1983	3387	
689.3080	4582	
689.4194	5496	
689.5307	5396	
689.6434	4887	
689.7555	4350	
689.8678	3605	
689.9790	2723	
690.0914	2457	
691.3052	2436	
691.4173	2423	
691.5285	2428	
691.6403	2116	
691.7514	2058	
692.0830	2031	
695.5979	3098	
695.7668	2766	
695.9345	2087	
697.8844	2184	
698.0855	2980	
700.4095	2262	
704.7049	2689	
704.9053	2029	
708.7614	2146	
708.9285	3078	
709.0951	3283	
709.2625	2159	
711.9302	2199	
712.0962	2262	
715.8339	2568	
716.0855	2889	
716.3349	2154	
720.4974	2402	
720.6977	3267	
720.8973	2576	
721.0973	2369	
724.1085	2937	
724.3632	2939	
724.6133	2138	
724.8703	2671	
724.9842	2953	
725.0973	3394	
725.2074	2450	
728.7212	6719	
728.8465	13362	
728.9713	17487	
729.0968	15828	
729.2220	12404	
729.3469	8143	
729.4719	5167	
729.5278	3532	
729.5965	3122	
729.6710	6091	
729.8143	6794	
729.9581	5421	
730.1002	3650	
730.8447	2821	
730.9696	3147	
731.0948	2981	
731.2198	2167	
