row ID,row m/z,row retention time,Pooled_Urine_5_posneg_b.mzXML Peak area,Urine_05_Top10_POS.mzXML Peak area,Urine_05_Top10_posneg.mzXML Peak area,Urine_101_Top10_posneg.mzXML Peak area,Urine_14_Top10_posneg.mzXML Peak area,Urine_19_Top10_POS.mzXML Peak area,Urine_19_Top10_posneg.mzXML Peak area,Urine_20_Top10_POS.mzXML Peak area,Urine_20_Top10_posneg.mzXML Peak area,Urine_22_Top10_posneg.mzXML Peak area,Urine_23_Top10_posneg.mzXML Peak area,Urine_25_Top10_posneg.mzXML Peak area,Urine_37_Top10_POS.mzXML Peak area,Urine_37_Top10_posneg.mzXML Peak area,Urine_44_Top10_POS.mzXML Peak area,Urine_44_Top10_posneg.mzXML Peak area,Urine_60_Top10_posneg.mzXML Peak area,Urine_61_Top10_POS.mzXML Peak area,Urine_61_Top10_posneg.mzXML Peak area,Urine_64_Top10_POS.mzXML Peak area,Urine_64_Top10_posneg.mzXML Peak area,Urine_66_Top10_posneg.mzXML Peak area,Urine_67_Top10_posneg.mzXML Peak area,Urine_73_Top10_POS.mzXML Peak area,Urine_73_Top10_posneg.mzXML Peak area,Urine_74_Top10_POS.mzXML Peak area,Urine_74_Top10_posneg.mzXML Peak area,Urine_76_Top10_posneg.mzXML Peak area,Urine_84_Top10_posneg.mzXML Peak area,Urine_86_Top10_posneg.mzXML Peak area,Urine_87_Top10_POS.mzXML Peak area,Urine_87_Top10_posneg.mzXML Peak area,Urine_88_Top10_posneg.mzXML Peak area,Urine_90_Top10_POS.mzXML Peak area,Urine_90_Top10_posneg.mzXML Peak area,Urine_91_Top10_POS.mzXML Peak area,Urine_91_Top10_posneg.mzXML Peak area,Urine_95_Top10_posneg.mzXML Peak area,Urine_96_Top10_posneg.mzXML Peak area,
1,70.06524200439453,9.963928888888889,1.1609464891103902E8,0,0,0,2.5382473090378904E8,0,1.2069236675865234E8,1.475114957040938E8,1.9549550068660948E8,1.2528699886100778E8,0,0,1.1982486035868363E8,0,1.221022864935898E8,0,0,0,1.2701283392444529E8,0,0,1.9029696138191417E8,0,6.945942284260933E7,1.3620722594948044E8,1.451296486107734E8,1.911644283104687E8,0,0,0,0,2.0102223112242573E8,0,0,0,0,0,0,0,
2,71.06013298034668,5.158454166666667,5.2960496111588293E8,0,0,1.113178108838746E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616819813061363E9,0,0,0,0,0,0,0,0,0,0,4.87267620791289E8,
3,73.08414077758789,19.518444444444444,8145090.412304678,0,0,0,3.278077661867189E7,0,0,0,0,0,1.632973783968747E7,4559688.3112890655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1638449351640655E7,0,0,0,0,0,1.477769314984371E7,
4,74.07128016153972,12.611097222222226,2.808203870607186E8,0,0,4.263472890906639E8,3.470339494255468E8,0,0,0,3.034836243701796E8,1.8330653075113282E8,0,0,0,0,0,3.1679342205060935E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,74.09642791748047,17.078166666666668,1.7069923436000767E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,76.07566227057042,8.720934615384614,4.90766514021829E9,5.055551887628514E9,3.994190537956185E9,2.384663736168843E9,2.3052676455270157E9,7.1301113424836645E9,5.870603587471077E9,7.312991976038339E9,6.718539284997354E9,3.2043064119510207E9,5.110765579924104E9,3.333612116699301E9,5.797679248969674E9,6.498990693011632E9,5.126022105171956E9,5.562201331169961E9,4.590036382561723E9,8.415586228987942E9,6.460745946486966E9,2.459984981927021E9,3.20845722871957E9,5.616771921251413E9,3.737734715693685E9,2.685267016714372E9,2.833416005402236E9,2.6326802089805627E9,2.773206273809491E9,4.449996139667975E9,5.031871049363701E9,6.310631594351268E9,5.376030432096509E9,4.810138482395961E9,3.62519507414483E9,8.683216147346653E9,6.820617822845778E9,7.027925409472154E9,5.440186721792463E9,4.92016862551856E9,1.483367463679638E9,
7,78.95566885811942,22.165166666666668,2.377000563929727E8,0,2.3318182062008992E8,4.091814925357422E8,2.719894004270235E8,0,0,0,0,0,0,0,0,0,0,0,4.430037310752736E8,0,0,0,0,0,0,0,3.5575141422136724E8,0,0,0,0,0,0,0,0,0,4.4178243516880476E8,0,0,0,0,
8,80.0494270324707,16.260741666666668,1.931641775690664E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.424575838270078E8,0,0,0,0,0,0,
9,83.02156448364258,9.041697549019608,2.2235692283486742E8,2.256911020569606E8,2.3212481257421076E8,3.403978608765075E8,0,1.0703660974141538E9,3.701591955931331E8,1.1646146181291773E9,4.1608976452048063E8,2.265428993192929E8,3.9992249753443366E8,3.5455595114632815E8,0,0,3.66955008128625E8,2.838015225457578E8,3.3238499774902356E8,5.4567295743347E8,4.2317821085239077E8,3.602368014504145E8,3.14087525280008E8,1.968787947454923E8,2.4613815702067953E8,2.8187503584096503E8,2.817601641431563E8,0,0,3.085000824580701E8,2.503103311408124E8,4.761041691258083E8,2.603122974335359E9,4.7485616770156235E8,6.330379183185705E8,1.662289737540073E9,2.8888864298787886E8,6.7570255732689E8,3.6156594626330495E8,2.703109267339608E8,3.3433476323465216E8,
10,84.0556246439616,16.686866666666663,4.343019096007035E7,0,0,0,0,0,0,0,0,1.3798615807977343E8,7.300012972014067E7,4.7523059656421855E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7117551638617195E7,0,0,0,6.714551347632806E7,
