ID	CPD	FORMULA
1	Demo A 	C189H238N66O119S4P18F8
2	Demo A Oxydefluorination (-2)	C189H239N66O120S4P18F7
3	Demo A 1PO	C189H238N66O120S3P18F8
4	Demo A 1PS/Thioate	C189H238N66O118S5P18F8
5	Demo A Dehydrofluorination (-20)	C189H237N66O119S4P18F7
6	Demo A Na (+22)	C189H237N66O119S4P18F8Na
7	Demo A 2PO	C189H238N66O121S2P18F8
8	Demo A -OMe (-32)	C188H234N66O118S4P18F8
9	Demo A 2PS/Thioate	C189H238N66O117S6P18F8
10	Demo A K (+39)	C189H237N66O119S4P18F8K
11	Demo A Acetyl (-43)	C187H236N66O118S4P18F8
12	Demo A Acetyl (+43)	C191H240N66O120S4P18F8
13	Demo A CNET (+53)	C192H241N67O119S4P18F8
14	Demo A IDP	C193H245N67O119S4P18F8
15	Demo A isoButyryl (+70)	C193H244N66O120S4P18F8
16	Demo A Depyrym -C	C185H235N63O119S4P18F8
17	Demo A Depyrym -U	C185H236N64O118S4P18F8
18	Demo A AMPA	C194H244N66O121S4P18F8
19	Demo A Benzoyl (+105)	C196H242N66O120S4P18F8
20	Demo A Depyrym -A	C184H235N61O120S4P18F8
21	Demo A Phenylacetyl (+118)	C197H244N66O120S4P18F8
22	Demo A Depyrym -G	C184H235N61O119S4P18F8
23	Demo A Chloral (+146)	C191H239N66O120S4P18Cl3F8
24	Demo A Loss abasic	C184H229N66O113S4P17F8
25	Demo A UnyLinker PO (+263)	C197H248N67O126S4P19F8
26	Demo A UnyLinker PS (+279)	C197H248N67O125S5P19F8
27	Demo A dmt	C210H256N66O121S4P18F8
28	Demo A -(fC)	C180H227N63O113S4P17F7
29	Demo A +(fC)	C198H249N69O125S4P19F9
30	Demo A -(fU)	C180H228N64O112S4P17F7
31	Demo A +(fU)	C198H248N68O126S4P19F9
32	Demo A -(mC)	C179H224N63O112S4P17F8
33	Demo A +(mC)	C199H252N69O126S4P19F8
34	Demo A -(mU)	C179H225N64O111S4P17F8
35	Demo A +(mU)	C199H251N68O127S4P19F8
36	Demo A -(fCs)	C180H227N63O114S3P17F7
37	Demo A +(fCs)	C198H249N69O124S5P19F9
